id,name,sector,style,quality,value,growth,momentum,risk,liquidity,ai_exposure,data_quality,note
SYN-A100,智造机器人设备（合成）,工业机器人,成长/周期,74,48,82,63,72,78,86,70,受益自动化，但周期与估值波动较高。
SYN-B200,食品消费稳定（合成）,食品饮料,防御/消费,80,57,48,42,38,73,37,82,现金流稳定但成长较慢，AI主要影响供应链与营销。
SYN-C300,新能源材料链（合成）,新能源材料,高波动/周期,58,44,76,68,82,81,62,65,景气与价格周期敏感，需严控仓位。
SYN-D400,医疗服务网络（合成）,医疗服务,质量/防御,77,52,59,50,55,66,45,74,需求韧性较强，但监管与成本影响明显。
SYN-E500,企业软件云平台（合成）,软件/云服务,成长/AI应用,70,39,88,74,78,85,91,72,AI互补潜力高，但估值与竞争格局敏感。
SYN-F600,稳健金融服务（合成）,银行/金融,价值/红利,67,78,32,39,46,90,52,83,估值低、分红假设强，但资产质量和宏观周期敏感。
SYN-G700,高波动AI主题（合成）,AI主题硬件,主题/高波动,42,28,93,87,95,80,98,52,主题弹性大，证据弱且回撤风险极高。
SYN-H800,公用事业防御（合成）,公用事业,防御/现金流,73,65,30,46,34,76,29,80,波动低但弹性有限，适合稳定现金流讨论。
SYN-I900,网络安全服务（合成）,网络安全,AI安全/成长,66,45,79,70,76,68,88,69,AI安全需求上升，但客户预算与竞争强度不确定。
SYN-J1000,半导体设备（合成）,半导体,科技/周期,61,36,84,75,86,87,94,67,AI算力链高相关，国产替代与周期波动并存。
